,Year,Film,Artist,Director,Producer,Music composer
189,1999,Dodhar,"Arjun Shrestha, Jal Shah, Ramesh Upreti, Niruta Singh, Tika Pahari",Narendra Shrestha,,
190,1999,Ek Number Ko Pakhe,"Rajesh Hamal, Karishma Manandhar, Jal Shah, Neer Shah, Dinesh DC",Kishore Rana,,Sambhujeet Baskota
191,1999,Gorkhali,"Sree Krishna Shrestha, Jharana Thapa",Gyanendra Deuja,,
192,1999,Hathiyar,"Jharna Bajracharya, Karisma Manandhar, Lokendra Karki, Simanta Udas",Prakash Sayami,,
193,1999,Himalaya  (Caravan) official entry for the Oscars,,,,
194,1999,Jange,,Daya Ram Dahal,,
195,1999,Kancha,"Rajesh Hamal, Karishma Manandhar",Surya Bohra,,
196,1999,Mato Bolcha,"Rajesh Hamal, Bipana Thapa, Dinesh Sharma, Melina Manandhar",Resh Raj Acharya,Sayapatri Films,
197,1999,Maute Dai,"Yuva Raj Lama, Ramesh Upreti, Jala Shah",Yuva Raj Lama,,
198,1999,Nagad Narayan,"Ramesh Upreti, Rajesh Hamal, Raj Acharya",Resh Raj Acharya,,
199,1999,Nata Ragat Ko,"Niruta Singh, Ganesh Upreti, Shree Krishna Shrestha, Jal Shah",,Prakash Thapa,
200,1999,Pareli,,Deepak Rayamajhi,,
201,1999,Sukumbasi,"Sunildutta Pandey, Rajesh Hamal",Sagar Ghimire,,
202,1999,Timinai Basyau Mero Manma,"Dinesh Sharma, Jal Shah, Sunil Thapa",Banni Pradhan,,
203,,,,,,
204,2000,Aago,"Sushil Chhetri, Bipana Thapa, Niruta Singh",Narayan Puri,,Sachin Singh
205,2000,Basanti,"Rajesh Hamal, Karishma Manandhar, Gauri Malla",Neer Shah,,"
"
206,2000,Dhuk Dhuki,"Rajesh Hamal, Karishma Manandhar",,,"
"
207,2000,Jindagani,"Rajesh Hamal, Karishma Manandhar",Ujwal Ghimire,Ujwal Ghimire,Sambhujeet Baskota
208,2000,Mukundo,"Gauri Malla, Mithila Sharma",,,"
"
209,2000,Mann Mero Mandaina,"Dinesh Sharma, Bipana Thapa",Desh Bhakta Khanal,Chiranjiwi Baasnet,"
"
210,2000,Tan Ta Sarai Bigris Ni Badri,"Bhuwan K.C., Sushmita K. C., Bipana Thapa, Hari Bansha Acharya",,,Sambhujeet Baskota
211,2000,Upkaar,"Rajesh Hamal, Karishma Manandhar, Shree Krishna Shrestha, Niruta Singh, Mithila Sharma
Sajjal Pant  (Child artist)

",Kishore Rana,Om Productions,Sambhujeet Baskota
212,2000,Shahar,"Dinesh Sharma, Puja Chand",Suman Sarkar,,"
"
213,2000,Anjanai maa Maya Basla hai,"Dinesh Sharma, Dilip Raymajhi",Chandra Prakash,Gopal Karmacharya,"
"
214,2001,Aafno Manchhe,"Bipana Thapa, Dilip Rayamajhi, Shree Krishna Shrestha, Niruta Singh Rejina Uprety",Shiva Regmi,,"
"
215,2001,Aashirbad,"Dinesh Sharma, Ram Krishna Dhakal, Rajesh Hamal, Jal Shah, Sanchita Luitel",Sambhu Pradhan,Gopal Karmacharya,"
"
216,2001,Afno Ghar Afno Manche,,Narayan Puri,,"
"
217,2001,Ladai,"Dinesh Sharma, Sushil Chhetri",Badri Adhikari,,
218,2001,Army (2001 film),"Dinesh Sharma, Lokendra Karki, Jal Shah",Shovit Basnet,,
219,2001,Badal Paree,"Bhuwan K.C., Jal Shah, Neer Shah",Ugyen Chopel,,"Sambhujeet Baskota
"
220,2001,Beimani,"Shiva Shrestha, Shrisha Karki, Shree Krishna Shrestha, Bipana Thapa",Bijay Chalise,,"
"
221,2001,Bihani,,,,"
"
222,2001,Buhari,"Shree krishna Shrestha, Sunil Thapa, Neer Shah",,,
223,2001,Daag,"Dinesh Sharma, Dhiren Shakya, Jal Shah, Rajani Rana",,Akash Adhikari,"
"
224,2001,Daiva Sanjog,,Manju Kumar Shrestha,,"
"
225,2001,Darpan Chaya,"Niruta Singh, Uttam Pradhan, Tulsi Ghimire, Dilip Rayamajhi",Tulsi Ghimire,Ranjit Gazmer,"
"
226,2001,Gaajal,"Ramesh Uprety, Bipana Thapa, Sushil Chhetri",K P Pathak,,"
"
227,2001,Gaunthali,,Dr.Bhola Rijal,,"
"
228,2001,Haudey,"Dinesh Sharma, Ishwor Shrestha",Suraj Subba,,"
"
229,2001,Jeevan Saathi,,Deepak Shrestha,,"
"
230,2001,Kaidi,"Dhiren Shakya, Kshitiza Shakya, Shrisha Karki",Manoj Khadka,,
231,2001,Ke Bho Lau Na Ni,"Dinesh Sharma, Anupama Koirala, Sushil Chhetri, Shiva Shrestha",Anish Koirala,,"
"
232,2001,Manai Ta Ho,,"Bipana Thapa, Nawal Khadka, Ramesh Upreti",Uday Subba,
233,2001,Maya Baiguni,"Rajesh Hamal, Dhiren Shakya, Simanta Udash, Bina Basnet, Shrisha Karki",Subhash Gajurel,,"
"
