,Title,Year,Genre,Director,Cast,Movie_id,cast_no,poster_url
23,Pachhis Basanta,1989,Drama,Neer Bikram Shah,"Basundhara Bhusal, Bhuwan K.C., Ravi Shah, Harihar Sharma",/title/tt8467972/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrRAMrQlBPGb0_Ps7IG1JifRD_f-sQq6RqVVKX9po2LINeS3Hrh-4co8abGc4&s
24,Lobhi Papi,1990,Comedy,Yadav Kharel,"Hari Bansha Acharya, Laxmi Giri, Bhuwan K.C., Kristi Mainali",/title/tt8282940/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3nUzGxyeRlQ_14QzsByi6E6-tuLGklRKaYO4QF0SA-pe2OccFfOpQU8Gtng&s
25,Bijay Parajay,1990,"Action, Comedy, Drama",Rajendra Salav,"Bhuwan K.C., Saroj Khanal, Krishna Malla, Sharmila Malla",/title/tt23685218/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9YoTZCnwnbc5KWhyHbBVTbBfYtp3HUdbXy_LW44pSUkduL7kWL28ZCB-hXLs&s
26,Kanyadaan,1991,Drama,Prakash Thapa,"Bhuwan K.C., Gauri Malla, Subhadra Adhikari, Basundhara Bhusal",/title/tt6722122/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLlCJrrKo0njoX3jq6vZYLXL8lDYuBSnlPfJDvmV1ms5m11VgCXP7x5LmJsQ&s
27,Yug Dekhi Yug Samma,1991,drama,Deepak Raimajhi,"Rajesh Hamal, Gopal Raj Mainali, Kristi Mainali, Tika Pahari",/title/tt0316930/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTN7stkqpsr0MNF9nfxCCrocVF-9DQT4B2pHBnjrAMyn14kd_6ebuwYfAUSLg&s
28,Chino,1991,"Drama, Romance",Tulsi Ghimire,"Ramchandra Adhikari, Shrawan Ghimire, Tulsi Ghimire, Bhuwan K.C.",/title/tt0315394/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfWuL3hehx0wO00WKKlhQ6lCbCmgjvr3MJCM1k-9iToLirZWQRzQ2HRP36NNw&s
29,Aadhi Beri,1991,Romance,Yadav Kharel,"Binod Kharel, Gauri Malla, Ramchandra Adhikari, Sushila Rayamajhi",/title/tt8502994/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSM0GN1h76sEPjY4BdH7y7HgwfZTtq9-wlwnMstD_S7TpMqqG70vyh7pJmmDo&s
30,Dakshina,1993,"Drama, Romance",Tulsi Ghimire,"Tulsi Ghimire, Bhuwan K.C., Niruta Singh, Bharati Ghimire",/title/tt0305406/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRD0_A-hkMrpjpmxaf2oiaJAEuiIMQHQlhIheYoG0zY847yRzCi_JTppPXol4Y&s
31,Deuta,1993,"Action, Drama",Tulsi Ghimire,"Srijana Basnet, Shrawan Ghimire, Tulsi Ghimire, Rajesh Hamal",/title/tt7228790/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRl2Xaz3W7wuuevhWrAEs_j1XYL3C-HvvA1_7H86fi0NP1MB31CC747iw8yCA&s
32,Dui Thopa Aansu,1993,Drama,Tulsi Ghimire,"Ramchandra Adhikari, Dayaram Dahal, Shrawan Ghimire, Bhuwan K.C.",/title/tt7007456/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmKY2bdYXFeC0dz0eooPdvd73_tevop2Ud2dEz6J3jpNhnr9S63l01TD1XOQ&s
