,Title,Year,Genre,Director,Cast,Movie_id
168,Kal-Khanda,(2008),History,"s:
Shankhar Acharya, 
Lawa Pyakurel, 
Sudip Sharma
                 |","['Shankhar Acharya', 'Mukunda Kishor Bhattarai', 'Nisha Kc', 'Sisham Kc']",/title/tt15399518/
169,Janayuddha,(2008),Drama,"Bimal Poudel
                 |","['Akash Adhikari', 'Ramchandra Adhikari', 'Sushil Chhetri', 'Nandita K.C.']",/title/tt8774178/
170,Mr. Mangale,(2008),,"Kishor Rana
                 |","['Mithila Sharma', 'Biren Shrestha', 'Rekha Thapa']",/title/tt8822142/
171,Mero Euta Saathi Cha,(2009),Romance,"Sudarshan Thapa
                 |","['Keshab Bhattarai', 'Sushma Karki', 'Jiwan Luitel', 'Zenisha Moktan']",/title/tt2094059/
172,Mission Paisa,(2009),"Animation, Action, Crime","Simosh Sunuwar
                 |","['Nikhil Upreti', 'Suraj Rd', 'Amir Gautam', 'Nisha Adhikari']",/title/tt1977865/
173,Patachara,(2009),Drama,"Ram Krishna Khadgi
                 |","['Laxmi Giri', 'Melina Manandhar', 'Karma Shakya']",/title/tt8470756/
174,Silsila,(2009),Drama,"Rajendra Uprety
                 |","['Biraj Bhatta', 'Soniya K.C.', 'R.P. Panta', 'Sushil Pokharel']",/title/tt7229916/
175,Mustang Secrets Beyond the Himalayas,(2009),Adventure,"Jaswant Dev Shrestha
                 |","['Buddi Ratna Sherchan', 'Jaswant Dev Shrestha']",/title/tt1543542/
176,The Yug Dekhi Yug Samma,(2009),Drama,"Dipendra K. Khanal
                 |","['Rajesh Hamal', 'Nandita K.C.', 'Rajaram Poudel', 'Anu Shah']",/title/tt10371334/
177,Gorkha Rachhayak,(2009),Action,"Giri Raj Lamichhane
                 |","['Narendra Singh Dhami', 'Rekha Thapa']",/title/tt8979822/
178,Maya Ta Maya Ho,(2009),Romance,"Tulsi Ghimire
                 |","['Narendra Singh Dhami', 'Tulsi Ghimire', 'Laxmi Giri', 'Sanchita Luitel']",/title/tt8228040/
179,Here,(2009),Drama,"Tzu Nyen Ho
                 |","['Jason Chang', 'John Low', 'Jo Tan', 'Hemang Yadav']",/title/tt1426364/
180,Mausam,(2009),Drama,"Shyam Bhattarai
                 |","['Rajesh Hamal', 'Sharmila Malla', 'Ranjana Sharma', 'Aaryan Sigdel']",/title/tt8809286/
181,The Martial Art,(2009),Fantasy,"Janak Raj Khakurel
                 |","['Puja Gautam', 'Db Lama', 'Raju Mahat', 'Anil Rai']",/title/tt15465390/
182,Kartavya,(2010),Family,"Narayan Puri
                 |","['Rajesh Hamal', 'Samyam Puri', 'Dilip Rayamajhi', 'Niruta Singh']",/title/tt13011806/
183,Batomuni Ko Phool,(2010),"Drama, Romance","Suraj Subba
                 |","['Yash Kumar', 'Rekha Thapa', 'Baboo Bogati', 'Hemanta Budhathoki']",/title/tt6704098/
184,Kasle Choryo Mero Man,(2010),"Drama, Romance","Shabir Shrestha
                 |","['Aaryan Sigdel', 'Rekha Thapa', 'Kishor Khatiwada', 'Neer Bikram Shah']",/title/tt7210246/
185,Chhodi Gaye Paap Lagla,(2010),Romance,"Ujwal Ghimire
                 |","['Sanchita Luitel', 'Raj Ballav Koirala', 'Biraj Bhatta', 'Richa Ghimire']",/title/tt8682226/
186,Kusume Rumal 2,(2010),"Drama, Romance","Nirak Poudel
                 |","['Shyamal Prasad', 'Shyam Aryal', 'Niraj Baral', 'Rubi Bhattarai']",/title/tt2007973/
